draft_load_N,regime,T_winch_N,T_anchor_N,sag_mid_m,ground_clearance_m,n_augers_required_qin_working,n_augers_required_qin_ultimate,n_augers_required_magnum_working,n_augers_required_magnum_ultimate
7200.0,draft-bound,7200.859859407981,7200.859859407981,0.19319420579381452,1.3068057942061855,21,21,5,5
7400.0,draft-bound,7400.836622628089,7400.836622628089,0.18797254125435697,1.312027458745643,22,22,5,5
7600.0,draft-bound,7600.814608634599,7600.814608634599,0.18302571629864917,1.316974283701351,22,22,5,5
7800.0,draft-bound,7800.793723386943,7800.793723386943,0.17833258792735773,1.3216674120726424,23,23,5,5
8000.0,draft-bound,8000.773882246212,8000.773882246212,0.17387412762112459,1.3261258723788754,24,24,5,5
8200.0,draft-bound,8200.755008828952,8200.755008828952,0.16963316345006055,1.3303668365499395,24,24,5,5
8400.0,draft-bound,8400.737034024642,8400.737034024642,0.16559415903406402,1.334405840965936,25,25,5,5
8600.0,draft-bound,8600.71989515024,8600.71989515024,0.1617430233414237,1.3382569766585763,25,25,5,5
8800.0,draft-bound,8800.703535219962,8800.703535219962,0.1580669464342646,1.3419330535657354,26,26,6,6
9000.0,draft-bound,9000.687902312418,9000.687902312418,0.15455425711061338,1.3454457428893867,26,26,6,6
9200.0,draft-bound,9200.672949020258,9200.672949020258,0.15119429912198087,1.3488057008780192,27,27,6,6
9400.0,draft-bound,9400.658631970056,9400.658631970056,0.1479773231883715,1.3520226768116286,28,28,6,6
9600.0,draft-bound,9600.644911402209,9600.644911402209,0.14489439251847158,1.3551056074815284,28,28,6,6
9800.0,draft-bound,9800.631750802248,9800.631750802248,0.14193729989459913,1.3580627001054009,29,29,6,6
10000.0,draft-bound,10000.61911657639,10000.61911657639,0.1390984947134561,1.3609015052865439,29,29,6,6
10200.0,draft-bound,10200.606977765252,10200.606977765252,0.13637101860536052,1.3636289813946394,30,30,6,6
10400.0,draft-bound,10400.595305790584,10400.595305790584,0.13374844848638337,1.3662515515136167,30,30,6,6
10600.0,draft-bound,10600.584074230681,10600.584074230681,0.13122484605716844,1.3687751539428317,31,31,7,7
10800.0,draft-bound,10800.573258620727,10800.573258620727,0.12879471291258762,1.3712052870874123,32,32,7,7
11000.0,draft-bound,11000.56283627493,11000.56283627493,0.1264529505493211,1.373547049450679,32,32,7,7
11200.0,draft-bound,11200.552786127706,11200.552786127706,0.1241948246583827,1.3758051753416174,33,33,7,7
11400.0,draft-bound,11400.543088591576,11400.543088591576,0.12201593317559191,1.377984066824408,33,33,7,7
11600.0,draft-bound,11600.533725429754,11600.533725429754,0.11991217764173388,1.3800878223582662,34,34,7,7
11800.0,draft-bound,11800.524679641712,11800.524679641712,0.11787973746757849,1.3821202625324216,34,34,7,7
12000.0,draft-bound,12000.51593536016,12000.51593536016,0.1159150467805816,1.3840849532194184,35,35,7,7
12200.0,draft-bound,12200.507477758174,12200.507477758174,0.11401477354430915,1.3859852264556909,36,36,8,8
12400.0,draft-bound,12400.499292965309,12400.499292965309,0.11217580069901288,1.3878241993009872,36,36,8,8
12600.0,draft-bound,12600.491367991692,12600.491367991692,0.1103952091007094,1.3896047908992906,37,37,8,8
12800.0,draft-bound,12800.483690659237,12800.483690659237,0.10867026205822414,1.391329737941776,37,37,8,8
13000.0,draft-bound,13000.476249539211,13000.476249539211,0.10699839129702376,1.3930016087029762,38,38,8,8
13200.0,draft-bound,13200.469033895468,13200.469033895468,0.10537718420015128,1.3946228157998488,38,38,8,8
13400.0,draft-bound,13400.462033632763,13400.462033632763,0.1038043721927011,1.396195627807299,39,39,8,8
13600.0,draft-bound,13600.455239249646,13600.455239249646,0.10227782014688677,1.3977221798531132,40,40,8,8
13800.0,draft-bound,13800.448641795423,13800.448641795423,0.10079551671733925,1.3992044832826607,40,40,8,8
14000.0,draft-bound,14000.44223283083,14000.44223283083,0.0993555654923087,1.4006444345076914,41,41,9,9
14200.0,draft-bound,14200.436004392017,14200.436004392017,0.09795617690522732,1.4020438230947727,41,41,9,9
14400.0,draft-bound,14400.429948957535,14400.429948957535,0.09659566081254001,1.40340433918746,42,42,9,9
14600.0,draft-bound,14600.42405941804,14600.42405941804,0.09527241968175149,1.4047275803182484,42,42,9,9
14800.0,draft-bound,14800.418329048443,14800.418329048443,0.09398494233780917,1.4060150576621908,43,43,9,9
15000.0,draft-bound,15000.412751482312,15000.412751482312,0.09273179820155449,1.4072682017984455,44,44,9,9
15200.0,draft-bound,15200.407320688257,15200.407320688257,0.09151163198957289,1.4084883680104272,44,44,9,9
15400.0,draft-bound,15400.40203094819,15400.40203094819,0.09032315882648534,1.4096768411735145,45,45,9,9
15600.0,draft-bound,15600.396876837242,15600.396876837242,0.0891651597266501,1.41083484027335,45,45,9,9
15800.0,draft-bound,15800.391853205196,15800.391853205196,0.08803647742808447,1.4119635225719156,46,46,10,10
16000.0,draft-bound,16000.386955159338,16000.386955159338,0.08693601253324088,1.4130639874667592,47,47,10,10
