site,annual_grid_hours,annual_grid_kWh,annual_harvest_kWh,annual_load_kWh,worst_week_grid_kWh,annual_surplus_kWh
Konya_TR,58.0,50.15802653311197,4492.94307069,2427.0,20.99745091004376,2065.9430706900002
Palencia_ES,162.0,162.01883164323138,3940.5192272726563,2427.0,42.8619492405079,1513.5192272726563
Beauce_FR,282.0,255.2954497739412,3298.8164671699633,2427.0,35.067455490312184,871.8164671699633
DesMoines_US,150.0,138.87041929607147,4073.7460426657544,2427.0,33.53887188117465,1646.7460426657544
Ludhiana_IN,211.0,191.915765846717,4201.791152126258,2427.0,41.75359346060735,1774.7911521262572
SaoPaulo_BR,164.0,159.51447710700103,4222.928046065498,2427.0,45.0964889121784,1795.9280460654982
