,500N,750N,1000N,1250N,1500N,1750N,2000N,2250N,2500N,2750N,3000N,3250N,3500N,3750N,4000N
1Hz,17.631046486547124,13.590816323737137,10.645557639768965,8.642962471626726,7.484156431944606,6.951420497196691,6.798208255084018,6.796024705678997,6.796024705678997,6.796024705678997,6.796024705678997,6.796024705678997,6.796024705678997,6.796024705678997,6.796024705678997
2Hz,13.74638551835393,10.804208267177662,8.608419312936737,7.198699917371839,6.477300735608735,6.222900234223309,6.202717123388145,6.202717123388145,6.202717123388145,6.202717123388145,6.202717123388145,6.202717123388145,6.202717123388145,6.202717123388145,6.202717123388145
3Hz,11.783043300907432,9.303684563927359,7.48993668445507,6.394360203289972,5.904023779376116,5.792226167106835,5.792226167106835,5.792226167106835,5.792226167106835,5.792226167106835,5.792226167106835,5.792226167106835,5.792226167106835,5.792226167106835,5.792226167106836
5Hz,9.76912245267763,7.740710150486825,6.307673295365867,5.535101248682067,5.280216848968313,5.268071285717152,5.268071285717152,5.268071285717152,5.268071285717152,5.268071285717152,5.268071285717152,5.268071285717151,5.268071285717151,5.268071285717151,5.268071285717151
8Hz,8.462019335003072,6.714011022235098,5.516473690242739,4.95403639896517,4.849291415538893,4.849291415538893,4.849291415538893,4.849291415538893,4.849291415538893,4.849291415538893,4.849291415538893,4.849291415538893,4.849291415538893,4.849291415538893,4.849291415538893
12Hz,7.738703387348065,6.147082965134854,5.073450828444126,4.625458681956981,4.583830536378116,4.583830536378116,4.583830536378116,4.583830536378117,4.583830536378117,4.583830536378118,4.583830536378118,4.583830536378118,4.583830536378118,4.583830536378118,4.583830536378118
