annual_GHI_kWh_per_m2_yr,farm_size_ha,surplus_kWh_yr,npv_eur,npv_additive_eur,payback_yr
1537.2881355932204,1.0,3456.6952935103677,-5175.340437479703,-64654.42814135084,15.0
1562.7118644067796,1.0,3521.3046914267256,-5175.340437479703,-64654.42814135084,15.0
1588.135593220339,1.0,3585.9140893430836,-5175.340437479703,-64654.42814135084,15.0
1613.5593220338983,1.0,3650.523487259442,-5175.340437479703,-64654.42814135084,15.0
1638.9830508474577,1.0,3715.1328851758,-5175.340437479703,-64654.42814135084,15.0
1664.406779661017,1.0,3779.742283092158,-5175.340437479703,-64654.42814135084,15.0
1689.8305084745762,1.0,3844.3516810085157,-5175.340437479703,-64654.42814135084,15.0
1715.2542372881355,1.0,3908.9610789248736,-5175.340437479703,-64654.42814135084,15.0
1740.677966101695,1.0,3973.5704768412324,-5175.340437479703,-64654.42814135084,15.0
1766.1016949152543,1.0,4038.1798747575904,-5175.340437479703,-64654.42814135084,15.0
1791.5254237288136,1.0,4102.789272673948,-5175.340437479703,-64654.42814135084,15.0
1816.9491525423728,1.0,4167.398670590306,-5175.340437479703,-64654.42814135084,15.0
1842.3728813559321,1.0,4232.008068506664,-5175.340437479703,-64654.42814135084,15.0
1867.7966101694915,1.0,4296.617466423022,-5175.340437479703,-64654.42814135084,15.0
1893.2203389830509,1.0,4361.226864339381,-5175.340437479703,-64654.42814135084,15.0
1918.6440677966102,1.0,4425.836262255739,-5175.340437479703,-64654.42814135084,15.0
1944.0677966101696,1.0,4490.445660172097,-5175.340437479703,-64654.42814135084,15.0
1969.4915254237287,1.0,4555.055058088455,-5175.340437479703,-64654.42814135084,15.0
1994.915254237288,1.0,4619.664456004813,-5175.340437479703,-64654.42814135084,15.0
2020.3389830508474,1.0,4684.2738539211705,-5175.340437479703,-64654.42814135084,15.0
2045.7627118644068,1.0,4748.883251837529,-5175.340437479703,-64654.42814135084,15.0
2071.186440677966,1.0,4813.492649753886,-5175.340437479703,-64654.42814135084,15.0
2096.610169491525,1.0,4878.102047670244,-5175.340437479703,-64654.42814135084,15.0
2122.0338983050847,1.0,4942.711445586603,-5175.340437479703,-64654.42814135084,15.0
2147.4576271186443,1.0,5007.320843502962,-5175.340437479703,-64654.42814135084,15.0
2172.8813559322034,1.0,5071.930241419319,-5175.340437479703,-64654.42814135084,15.0
2198.3050847457625,1.0,5136.539639335677,-5175.340437479703,-64654.42814135084,15.0
2223.728813559322,1.0,5201.149037252036,-5175.340437479703,-64654.42814135084,15.0
2249.1525423728813,1.0,5265.758435168393,-5175.340437479703,-64654.42814135084,15.0
2274.576271186441,1.0,5330.3678330847515,-5175.340437479703,-64654.42814135084,15.0
2300.0,1.0,5394.977231001109,-5175.340437479703,-64654.42814135084,15.0
800.0,1.1242100350620865,1581.5297947962677,-5157.479128594303,-64636.56683246544,15.0
825.4237288135594,1.1242100350620865,1646.139192712626,-5157.479128594303,-64636.56683246544,15.0
850.8474576271186,1.1242100350620865,1710.748590628984,-5157.479128594303,-64636.56683246544,15.0
876.271186440678,1.1242100350620865,1775.3579885453419,-5157.479128594303,-64636.56683246544,15.0
901.6949152542372,1.1242100350620865,1839.9673864616998,-5157.479128594303,-64636.56683246544,15.0
927.1186440677966,1.1242100350620865,1904.5767843780582,-5157.479128594303,-64636.56683246544,15.0
952.542372881356,1.1242100350620865,1969.186182294416,-5157.479128594303,-64636.56683246544,15.0
977.9661016949153,1.1242100350620865,2033.7955802107745,-5157.479128594303,-64636.56683246544,15.0
1003.3898305084746,1.1242100350620865,2098.4049781271324,-5157.479128594303,-64636.56683246544,15.0
1028.8135593220338,1.1242100350620865,2163.01437604349,-5157.479128594303,-64636.56683246544,15.0
1054.2372881355932,1.1242100350620865,2227.623773959848,-5157.479128594303,-64636.56683246544,15.0
1079.6610169491526,1.1242100350620865,2292.2331718762066,-5157.479128594303,-64636.56683246544,15.0
1105.084745762712,1.1242100350620865,2356.8425697925645,-5157.479128594303,-64636.56683246544,15.0
1130.508474576271,1.1242100350620865,2421.451967708922,-5157.479128594303,-64636.56683246544,15.0
1155.9322033898306,1.1242100350620865,2486.061365625281,-5157.479128594303,-64636.56683246544,15.0
1181.3559322033898,1.1242100350620865,2550.6707635416383,-5157.479128594303,-64636.56683246544,15.0
1206.7796610169491,1.1242100350620865,2615.2801614579967,-5157.479128594303,-64636.56683246544,15.0
1232.2033898305085,1.1242100350620865,2679.8895593743546,-5157.479128594303,-64636.56683246544,15.0
1257.6271186440677,1.1242100350620865,2744.4989572907125,-5157.479128594303,-64636.56683246544,15.0
1283.0508474576272,1.1242100350620865,2809.1083552070713,-5157.479128594303,-64636.56683246544,15.0
1308.4745762711864,1.1242100350620865,2873.717753123429,-5157.479128594303,-64636.56683246544,15.0
1333.8983050847457,1.1242100350620865,2938.3271510397867,-5157.479128594303,-64636.56683246544,15.0
1359.322033898305,1.1242100350620865,3002.936548956145,-5157.479128594303,-64636.56683246544,15.0
1384.7457627118642,1.1242100350620865,3067.5459468725026,-5157.479128594303,-64636.56683246544,15.0
1410.1694915254238,1.1242100350620865,3132.1553447888614,-5157.479128594303,-64636.56683246544,15.0
1435.593220338983,1.1242100350620865,3196.764742705219,-5157.479128594303,-64636.56683246544,15.0
1461.0169491525423,1.1242100350620865,3261.374140621577,-5157.479128594303,-64636.56683246544,15.0
1486.4406779661017,1.1242100350620865,3325.983538537935,-5157.479128594303,-64636.56683246544,15.0
1511.864406779661,1.1242100350620865,3390.5929364542935,-5157.479128594303,-64636.56683246544,15.0
1537.2881355932204,1.1242100350620865,3455.2023343706514,-5157.479128594303,-64636.56683246544,15.0
1562.7118644067796,1.1242100350620865,3519.8117322870094,-5157.479128594303,-64636.56683246544,15.0
1588.135593220339,1.1242100350620865,3584.4211302033673,-5157.479128594303,-64636.56683246544,15.0
1613.5593220338983,1.1242100350620865,3649.0305281197257,-5157.479128594303,-64636.56683246544,15.0
1638.9830508474577,1.1242100350620865,3713.6399260360836,-5157.479128594303,-64636.56683246544,15.0
1664.406779661017,1.1242100350620865,3778.2493239524415,-5157.479128594303,-64636.56683246544,15.0
1689.8305084745762,1.1242100350620865,3842.8587218687994,-5157.479128594303,-64636.56683246544,15.0
1715.2542372881355,1.1242100350620865,3907.4681197851573,-5157.479128594303,-64636.56683246544,15.0
1740.677966101695,1.1242100350620865,3972.077517701516,-5157.479128594303,-64636.56683246544,15.0
1766.1016949152543,1.1242100350620865,4036.686915617874,-5157.479128594303,-64636.56683246544,15.0
1791.5254237288136,1.1242100350620865,4101.296313534232,-5157.479128594303,-64636.56683246544,15.0
1816.9491525423728,1.1242100350620865,4165.9057114505895,-5157.479128594303,-64636.56683246544,15.0
1842.3728813559321,1.1242100350620865,4230.515109366947,-5157.479128594303,-64636.56683246544,15.0
1867.7966101694915,1.1242100350620865,4295.124507283305,-5157.479128594303,-64636.56683246544,15.0
1893.2203389830509,1.1242100350620865,4359.733905199664,-5157.479128594303,-64636.56683246544,15.0
1918.6440677966102,1.1242100350620865,4424.343303116022,-5157.479128594303,-64636.56683246544,15.0
1944.0677966101696,1.1242100350620865,4488.95270103238,-5157.479128594303,-64636.56683246544,15.0
1969.4915254237287,1.1242100350620865,4553.562098948738,-5157.479128594303,-64636.56683246544,15.0
1994.915254237288,1.1242100350620865,4618.171496865096,-5157.479128594303,-64636.56683246544,15.0
2020.3389830508474,1.1242100350620865,4682.780894781454,-5157.479128594303,-64636.56683246544,15.0
