material,span_m,T_horiz_N,sag_m,mass_per_m_kg
steel_6x19_IWRC_8mm,75.0,8389.830508474577,0.20957753596761006,0.255
steel_6x19_IWRC_8mm,75.0,8805.084745762711,0.1996935145979047,0.255
steel_6x19_IWRC_8mm,75.0,9220.338983050848,0.1906998060624174,0.255
steel_6x19_IWRC_8mm,75.0,9635.593220338982,0.18248130005648897,0.255
steel_6x19_IWRC_8mm,75.0,10050.847457627118,0.1749419103197972,0.255
steel_6x19_IWRC_8mm,75.0,10466.101694915254,0.16800080046305008,0.255
steel_6x19_IWRC_8mm,75.0,10881.355932203389,0.16158947402694143,0.255
steel_6x19_IWRC_8mm,75.0,11296.610169491525,0.15564950636027222,0.255
steel_6x19_IWRC_8mm,75.0,11711.864406779661,0.15013075903487602,0.255
steel_6x19_IWRC_8mm,75.0,12127.118644067796,0.1449899611271547,0.255
steel_6x19_IWRC_8mm,75.0,12542.372881355932,0.14018957233001955,0.255
steel_6x19_IWRC_8mm,75.0,12957.627118644068,0.13569686467674152,0.255
steel_6x19_IWRC_8mm,75.0,13372.881355932202,0.13148317536400173,0.255
steel_6x19_IWRC_8mm,75.0,13788.135593220339,0.12752329458092596,0.255
steel_6x19_IWRC_8mm,75.0,14203.389830508475,0.12379496074146282,0.255
steel_6x19_IWRC_8mm,75.0,14618.64406779661,0.12027844173445117,0.255
steel_6x19_IWRC_8mm,75.0,15033.898305084746,0.1169561855865226,0.255
steel_6x19_IWRC_8mm,75.0,15449.152542372882,0.11381252745565733,0.255
steel_6x19_IWRC_8mm,75.0,15864.406779661016,0.11083344264838549,0.255
steel_6x19_IWRC_8mm,75.0,16279.661016949152,0.10800633743439493,0.255
steel_6x19_IWRC_8mm,75.0,16694.91525423729,0.1053198710797007,0.255
steel_6x19_IWRC_8mm,75.0,17110.169491525423,0.10276380379943674,0.255
steel_6x19_IWRC_8mm,75.0,17525.42372881356,0.10032886631965887,0.255
steel_6x19_IWRC_8mm,75.0,17940.677966101695,0.09800664756617229,0.255
steel_6x19_IWRC_8mm,75.0,18355.93220338983,0.09578949758384966,0.255
steel_6x19_IWRC_8mm,75.0,18771.186440677964,0.09367044335025337,0.255
steel_6x19_IWRC_8mm,75.0,19186.4406779661,0.0916431155235345,0.255
steel_6x19_IWRC_8mm,75.0,19601.694915254237,0.08970168449243102,0.255
steel_6x19_IWRC_8mm,75.0,20016.949152542373,0.08784080439573247,0.255
steel_6x19_IWRC_8mm,75.0,20432.20338983051,0.08605556396385032,0.255
steel_6x19_IWRC_8mm,75.0,20847.457627118645,0.08434144323103794,0.255
steel_6x19_IWRC_8mm,75.0,21262.711864406778,0.0826942753358829,0.255
steel_6x19_IWRC_8mm,75.0,21677.966101694914,0.08111021268862892,0.255
steel_6x19_IWRC_8mm,75.0,22093.22033898305,0.07958569697424128,0.255
steel_6x19_IWRC_8mm,75.0,22508.474576271186,0.07811743246358546,0.255
steel_6x19_IWRC_8mm,75.0,22923.728813559323,0.07670236223572903,0.255
steel_6x19_IWRC_8mm,75.0,23338.98305084746,0.07533764692840525,0.255
steel_6x19_IWRC_8mm,75.0,23754.23728813559,0.0740206457266611,0.255
steel_6x19_IWRC_8mm,75.0,24169.491525423728,0.07274889929456839,0.255
steel_6x19_IWRC_8mm,75.0,24584.745762711864,0.07152011446693719,0.255
steel_6x19_IWRC_8mm,75.0,25000.0,0.07033215043568589,0.255
steel_6x19_IWRC_8mm,100.0,500.0,6.284386630780631,0.255
steel_6x19_IWRC_8mm,100.0,915.2542372881355,3.420616980413566,0.255
steel_6x19_IWRC_8mm,100.0,1330.508474576271,2.3511092877870565,0.255
steel_6x19_IWRC_8mm,100.0,1745.7627118644068,1.7913122578602434,0.255
steel_6x19_IWRC_8mm,100.0,2161.016949152542,1.4468844509588588,0.255
steel_6x19_IWRC_8mm,100.0,2576.271186440678,1.2135691800957429,0.255
steel_6x19_IWRC_8mm,100.0,2991.5254237288136,1.045060405088386,0.255
steel_6x19_IWRC_8mm,100.0,3406.779661016949,0.9176468389708613,0.255
steel_6x19_IWRC_8mm,100.0,3822.0338983050847,0.8179279831232231,0.255
steel_6x19_IWRC_8mm,100.0,4237.28813559322,0.7377587765844462,0.255
