soil,phi_deg,k_subgrade_MNpm3,single_free_N,single_fixed_N,group_efficiency,per_auger_group_free_N,nominal_working_per_auger_N,safety_factor
loose,30.0,5.4,1121.4,5798.9,0.5,560.7,373.8,1.5
medium-dense,36.0,24.4,1904.9,7877.9,0.5,952.4,635.0,1.5
