material,f1_hz,gallop_iced_m_s,lockin_mode1_m_s,viv,gallop
steel_6x19_IWRC_8mm,0.8400833185922527,0.9347165186578509,0.03360333274369011,True,True
dyneema_sk78_8mm_12strand,1.978258027733401,0.39706183443650717,0.07913032110933604,True,True
uhmwpe_spectra_8mm,2.0001943493100223,0.3927372420965114,0.08000777397240089,True,True
