draft_P50_N,draft_P90_N,reduction_ratio_vs_conventional,energy_per_decare_Wh,decares_per_day_offgrid,simple_payback_months,npv_replacement_eur,payback_replacement_yr,augers_req_P90_cap400N,augers_req_P90_cap2000N
1800.0,2999.9999999999995,0.3426370663882941,889.4608894608896,11.595766883553496,121.28737094723492,3575.20914636671,1.3002611534276387,9,2
1886.334302135904,3143.8905035598395,0.35907113972858673,920.325433339019,11.296198626069163,125.49607694748735,3575.20914636671,1.3002611534276387,10,2
1972.668604271808,3287.7810071196795,0.3755052130688794,951.1899772171486,11.007529862423109,129.70478294773977,3575.20914636671,1.3002611534276387,10,2
2059.0029064077116,3431.671510679519,0.391939286409172,982.0545210952781,10.729901748919175,133.9134889479922,3575.20914636671,1.3002611534276387,10,2
2145.337208543616,3575.5620142393595,0.4083733597494647,1012.9190649734076,10.463234371041843,138.1221949482446,3575.20914636671,1.3002611534276387,11,3
2231.67151067952,3719.4525177991995,0.4248074330897574,1043.783608851537,10.207302003111884,142.33090094849706,3575.20914636671,1.3002611534276387,11,3
2318.0058128154237,3863.343021359039,0.44124150643005,1074.6481527296667,9.961785160956854,146.53960694874948,3575.20914636671,1.3002611534276387,12,3
2404.3401149513275,4007.2335249188786,0.4576755797703426,1105.5126966077962,9.726306743689802,150.74831294900193,3575.20914636671,1.3002611534276387,12,3
2490.6744170872316,4151.124028478719,0.4741096531106353,1136.377240485926,9.500457156367226,154.95701894925435,3575.20914636671,1.3002611534276387,12,3
2577.008719223136,4295.014532038559,0.490543726450928,1167.2417843640553,9.283811736650724,159.16572494950677,3575.20914636671,1.3002611534276387,13,3
2663.3430213590395,4438.905035598399,0.5069777997912206,1198.1063282421849,9.075942769427753,163.3744309497592,3575.20914636671,1.3002611534276387,13,3
2749.6773234949433,4582.795539158238,0.5234118731315132,1228.9708721203144,8.876427675395831,167.58313695001164,3575.20914636671,1.3002611534276387,14,3
2836.0116256308474,4726.686042718079,0.5398459464718058,1259.835415998444,8.684854484977645,171.79184295026403,3575.20914636671,1.3002611534276387,14,3
2922.3459277667516,4870.576546277919,0.5562800198120985,1290.6999598765738,8.500825382515423,176.00054895051647,3575.20914636671,1.3002611534276387,15,3
3008.6802299026554,5014.467049837758,0.5727140931523912,1321.5645037547029,8.32395887891837,180.2092549507689,3575.20914636671,1.3002611534276387,15,3
3095.014532038559,5158.357553397598,0.5891481664926838,1352.4290476328324,8.153891011941754,184.41796095102134,3575.20914636671,1.3002611534276387,15,3
3181.3488341744633,5302.248056957438,0.6055822398329764,1383.2935915109622,7.990275860882075,188.6266669512738,3575.20914636671,1.3002611534276387,16,4
3267.6831363103674,5446.138560517278,0.6220163131732691,1414.1581353890917,7.832785582435612,192.8353729515262,3575.20914636671,1.3002611534276387,16,4
3354.017438446271,5590.029064077118,0.6384503865135618,1445.0226792672213,7.681110117099729,197.04407895177866,3575.20914636671,1.3002611534276387,17,4
3440.351740582175,5733.919567636957,0.6548844598538544,1475.8872231453506,7.534956674141797,201.25278495203102,3575.20914636671,1.3002611534276387,17,4
3526.686042718079,5877.810071196798,0.671318533194147,1506.7517670234802,7.3940490732029165,205.46149095228344,3575.20914636671,1.3002611534276387,17,4
3613.0203448539833,6021.700574756638,0.6877526065344397,1537.61631090161,7.25812699881287,209.6701969525359,3575.20914636671,1.3002611534276387,18,4
3699.354646989887,6165.591078316478,0.7041866798747324,1568.4808547797395,7.126945208190511,213.87890295278837,3575.20914636671,1.3002611534276387,18,4
3785.6889491257907,6309.481581876317,0.720620753215025,1599.345398657869,7.000272721071137,218.08760895304079,3575.20914636671,1.3002611534276387,19,4
3872.023251261695,6453.372085436157,0.7370548265553176,1630.2099425359984,6.8778920117806805,222.29631495329318,3575.20914636671,1.3002611534276387,19,4
3958.357553397599,6597.262588995998,0.7534888998956103,1661.0744864141284,6.7595982175315665,226.50502095354568,3575.20914636671,1.3002611534276387,19,4
4044.691855533503,6741.153092555837,0.769922973235903,1691.9390302922577,6.645198372342385,230.71372695379804,3575.20914636671,1.3002611534276387,20,4
4131.0261576694065,6885.043596115677,0.7863570465761955,1722.803574170387,6.534510672643254,234.9224329540504,3575.20914636671,1.3002611534276387,20,4
4217.360459805311,7028.934099675517,0.8027911199164882,1753.6681180485168,6.427363778198449,239.13113895430288,3575.20914636671,1.3002611534276387,21,5
4303.694761941215,7172.824603235357,0.8192251932567809,1784.5326619266461,6.323596150221335,243.3398449545553,3575.20914636671,1.3002611534276387,21,5
4390.029064077118,7316.715106795196,0.8356592665970735,1815.3972058047757,6.223055427298741,247.54855095480775,3575.20914636671,1.3002611534276387,22,5
4476.363366213022,7460.605610355036,0.8520933399373661,1846.261749682905,6.12559783885357,251.7572569550601,3575.20914636671,1.3002611534276387,22,5
4562.6976683489265,7604.496113914877,0.8685274132776588,1877.1262935610353,6.031087655259615,255.96596295531265,3575.20914636671,1.3002611534276387,22,5
4649.031970484831,7748.386617474717,0.8849614866179515,1907.9908374391641,5.939396673309539,260.174668955565,3575.20914636671,1.3002611534276387,23,5
4735.366272620735,7892.277121034557,0.9013955599582442,1938.8553813172944,5.850403735472726,264.38337495581754,3575.20914636671,1.3002611534276387,23,5
4821.700574756638,8036.167624594396,0.9178296332985367,1969.7199251954235,5.763994281224168,268.5920809560699,3575.20914636671,1.3002611534276387,24,5
4908.034876892542,8180.058128154236,0.9342637066388294,2000.5844690735532,5.680059928648993,272.8007869563223,3575.20914636671,1.3002611534276387,24,5
4994.3691790284465,8323.948631714076,0.9506977799791221,2031.449012951683,5.598498084507677,277.0094929565748,3575.20914636671,1.3002611534276387,24,5
