variant,decares_per_day_offgrid,energy_per_decare_Wh,cost_cabletract_usd,payback_months_vs_fuel,surplus_power_W
Codesigned baseline (regen default),11.982449645482,1226.7942227942228,38670.0,180.34464171940763,1036.372365357437
"Multi-strip anchoring (beam, k=4)",14.547449351641626,973.794222794223,40170.0,148.70527504266408,891.0370225033632
CableTract+ (4-Main-Unit cable robot),16.458964275964814,889.4608894608896,84996.66,287.39953807348775,969.934167417445
Unidirectional drivetrain (no regen),11.677650935624339,1258.8148148148148,38370.0,183.6161993686364,1035.8312142403047
