feature,importance
bb_fill,0.7471526034180499
bb_aspect,0.11781601645012862
area_m2,0.07042596582503007
iso_perim_ratio,0.041765992177497865
perimeter_m,0.021002790105181524
n_holes,0.0018366320241120576
