site,panel_area_m2,battery_capacity_Wh,annual_grid_hours,annual_grid_kWh,annual_curtailed_kWh
SaoPaulo_BR,4.0,2000.0,4027.0,3491.8507744801345,0.0
SaoPaulo_BR,4.0,4444.444444444444,4026.0,3490.912107813468,0.0
SaoPaulo_BR,4.0,6888.888888888889,4025.0,3489.9734411468016,0.0
SaoPaulo_BR,4.0,9333.333333333332,4025.0,3489.0347744801347,0.0
SaoPaulo_BR,4.0,11777.777777777777,4024.0,3488.0961078134683,0.0
SaoPaulo_BR,4.0,14222.222222222223,4024.0,3487.1574411468014,0.0
SaoPaulo_BR,4.0,16666.666666666664,4023.0,3486.218774480135,0.0
SaoPaulo_BR,4.0,19111.11111111111,4023.0,3485.280107813468,0.0
SaoPaulo_BR,4.0,21555.555555555555,4022.0,3484.3414411468016,0.0
SaoPaulo_BR,4.0,24000.0,4021.0,3483.402774480135,0.0
SaoPaulo_BR,6.888888888888889,2000.0,2925.0,2696.6959935504433,6.261679038225388
SaoPaulo_BR,6.888888888888889,4444.444444444444,2924.0,2689.986563482148,0.0
SaoPaulo_BR,6.888888888888889,6888.888888888889,2923.0,2689.047896815481,0.0
SaoPaulo_BR,6.888888888888889,9333.333333333332,2923.0,2688.1092301488143,0.0
SaoPaulo_BR,6.888888888888889,11777.777777777777,2922.0,2687.1705634821483,0.0
SaoPaulo_BR,6.888888888888889,14222.222222222223,2921.0,2686.231896815481,0.0
SaoPaulo_BR,6.888888888888889,16666.666666666664,2921.0,2685.2932301488145,0.0
SaoPaulo_BR,6.888888888888889,19111.11111111111,2920.0,2684.354563482148,0.0
SaoPaulo_BR,6.888888888888889,21555.555555555555,2920.0,2683.415896815481,0.0
SaoPaulo_BR,6.888888888888889,24000.0,2919.0,2682.4772301488147,0.0
SaoPaulo_BR,9.777777777777779,2000.0,2309.0,1987.1241400619226,105.5208003769196
SaoPaulo_BR,9.777777777777779,4444.444444444444,2207.0,1889.1277370947882,0.0
SaoPaulo_BR,9.777777777777779,6888.888888888889,2206.0,1888.1890704281216,0.0
SaoPaulo_BR,9.777777777777779,9333.333333333332,2205.0,1887.2504037614551,0.0
SaoPaulo_BR,9.777777777777779,11777.777777777777,2205.0,1886.3117370947887,0.0
SaoPaulo_BR,9.777777777777779,14222.222222222223,2203.0,1885.3730704281218,0.0
SaoPaulo_BR,9.777777777777779,16666.666666666664,2202.0,1884.434403761455,0.0
SaoPaulo_BR,9.777777777777779,19111.11111111111,2200.0,1883.495737094789,0.0
SaoPaulo_BR,9.777777777777779,21555.555555555555,2198.0,1882.557070428122,0.0
