id,shape_class,area_ha,span_m,eta_x,eta_best,best_orientation_deg
field_024,irregular_convex,0.6753,50.0,0.7293440923224093,0.7680673996974783,90.0
field_025,irregular_convex,1.157,50.0,0.6873173385931208,0.7160789429402469,120.0
field_026,irregular_convex,1.7396,50.0,0.6870189608422856,0.7359247719182126,90.0
field_027,irregular_convex,0.6336,50.0,0.5821343754681931,0.6573928278798724,165.0
field_028,irregular_convex,0.5982,50.0,0.5533350252860957,0.6303111341244944,90.0
field_029,irregular_convex,0.5324,50.0,0.6478769772293981,0.6756927518197162,165.0
field_030,irregular_convex,1.3311,50.0,0.6581026842406116,0.742597517064645,135.0
field_031,irregular_concave,0.9475,50.0,0.5774823684630292,0.6672127786547012,105.0
field_032,irregular_concave,1.5483,50.0,0.5911879974550343,0.6839116118658483,120.0
field_033,irregular_concave,0.5072,50.0,0.5862143493969786,0.5953857037429542,15.0
field_034,irregular_concave,1.5839,50.0,0.6933491466141254,0.7210841724625762,150.0
field_035,irregular_concave,0.4182,50.0,0.5370027121391233,0.6227832165804509,150.0
field_036,irregular_concave,1.4087,50.0,0.6187900427079586,0.7073025554730686,45.0
field_037,irregular_concave,0.6243,50.0,0.5175199850297878,0.7563844975887833,150.0
field_038,irregular_concave,0.911,50.0,0.5796821304167492,0.682744649582028,165.0
field_039,irregular_concave,0.3405,50.0,0.30588915395444144,0.5073521738782271,60.0
field_040,irregular_concave,1.2228,50.0,0.6583096360304198,0.7477917373851962,135.0
field_041,irregular_concave,1.9288,50.0,0.6622702148150346,0.7610827179594107,105.0
field_042,irregular_concave,0.8595,50.0,0.6509377583463688,0.7114214238681363,165.0
field_043,irregular_concave,0.2593,50.0,0.4039813212960496,0.4946771613195145,45.0
field_044,irregular_concave,2.889,50.0,0.8081591904068368,0.8149793440160653,15.0
field_045,irregular_concave,0.7397,50.0,0.47020509284110457,0.6455201707392497,60.0
field_046,real_shape,1.2225,50.0,0.7191176470588235,0.8985952822687516,90.0
field_047,real_shape,1.76,50.0,0.7250936329588015,0.7999999999999998,90.0
field_048,real_shape,2.0,50.0,0.7773279352226721,0.8078335373317014,90.0
field_049,real_shape,1.1271,50.0,0.7635879806500805,0.7635879806500805,0.0
field_050,real_shape,2.1275,50.0,0.69556335503526,0.7950427434779572,90.0
field_001,rectangle,0.5,75.0,0.6666666666666666,0.6666666666666666,0.0
field_002,rectangle,0.75,75.0,0.6666666666666666,1.0,90.0
field_003,rectangle,1.0,75.0,0.6666666666666666,0.6666666666666666,0.0
field_004,rectangle,1.0,75.0,0.8888888888888888,0.8888888888888888,0.0
field_005,rectangle,0.9,75.0,1.0,1.0,0.0
field_006,rectangle,1.6,75.0,0.8888888888888888,0.8888888888888888,0.0
field_007,rectangle,2.0,75.0,0.8888888888888888,0.8888888888888888,0.0
field_008,rectangle,2.4,75.0,0.8888888888888888,0.8888888888888888,0.0
field_009,rectangle,3.0,75.0,0.8888888888888888,1.0,90.0
field_010,rectangle,8.0,75.0,0.8888888888888888,0.8888888888888888,0.0
field_011,L_shape,0.91,75.0,0.7137254901960784,0.7137254901960784,0.0
field_012,L_shape,1.08,75.0,0.72,0.72,0.0
field_013,L_shape,1.6,75.0,0.7111111111111111,0.8888888888888888,90.0
field_014,L_shape,0.7125,75.0,0.5428571428571428,0.59375,90.0
field_015,L_shape,2.7,75.0,0.9,0.9,0.0
field_016,L_shape,1.25,75.0,0.6666666666666666,0.8333333333333334,90.0
field_017,L_shape,2.04,75.0,0.7555555555555555,0.7555555555555555,0.0
field_018,L_shape,1.64,75.0,0.6833333333333333,0.6833333333333333,0.0
field_019,L_shape,3.26,75.0,0.7761904761904762,0.924822695035461,90.0
field_020,L_shape,4.04,75.0,0.855026455026455,0.855026455026455,0.0
field_021,irregular_convex,0.9746,75.0,0.5495481613064012,0.6183708329382205,90.0
field_022,irregular_convex,2.1776,75.0,0.6912386994931071,0.7101445730824545,75.0
field_023,irregular_convex,0.315,75.0,0.6393790216049771,0.6827935703261436,120.0
field_024,irregular_convex,0.6753,75.0,0.5429796737234472,0.5639308408795077,90.0
field_025,irregular_convex,1.157,75.0,0.6130330904195361,0.6204771576479902,30.0
field_026,irregular_convex,1.7396,75.0,0.5855057476131655,0.6931622790733821,90.0
field_027,irregular_convex,0.6336,75.0,0.4920117726043561,0.5686596734440239,165.0
field_028,irregular_convex,0.5982,75.0,0.4467815337858151,0.7472665683990845,135.0
field_029,irregular_convex,0.5324,75.0,0.4782555661566427,0.6149473631291429,75.0
field_030,irregular_convex,1.3311,75.0,0.5524973171186468,0.6776908113705006,135.0
field_031,irregular_concave,0.9475,75.0,0.45739056291590025,0.5917402699765818,90.0
field_032,irregular_concave,1.5483,75.0,0.5778865698467116,0.6109055830630513,45.0
field_033,irregular_concave,0.5072,75.0,0.39012404247433224,0.509834696307277,30.0
field_034,irregular_concave,1.5839,75.0,0.6369763301241376,0.6704265082772418,165.0
field_035,irregular_concave,0.4182,75.0,0.5040235172946954,0.6788007756136322,60.0
field_036,irregular_concave,1.4087,75.0,0.5427667429412383,0.6671253720213809,45.0
field_037,irregular_concave,0.6243,75.0,0.4113404069159416,0.5510113185477069,135.0
