site,brightest_week_start_doy,brightest_week_start_label,week_solar_kWh,week_wind_kWh,week_load_kWh,week_grid_kWh,week_curtailed_kWh,soc_min_pct,soc_max_pct
Konya_TR,155,Jun 3,148.58336136995598,4.45467947109614,90.3,0.0,58.49637901439258,47.81744261102233,95.0
Palencia_ES,199,Jul 17,142.96232152586978,3.6100767693437175,90.3,0.0,51.93426140725876,48.009927938455746,95.0
Beauce_FR,167,Jun 15,148.3832013090895,5.8035075210158045,90.3,0.0,59.4326315116082,48.23772254767633,95.0
DesMoines_US,171,Jun 19,136.8247075260816,7.770674248872732,90.3,0.0,49.51462127177149,48.25729253893039,95.0
Ludhiana_IN,133,May 12,135.9919790239875,5.067987892561455,90.3,0.0,46.454969370489025,48.19768306329004,95.0
SaoPaulo_BR,348,Dec 13,140.90976492368452,1.8480420306749217,90.3,0.0,48.11235123314851,47.92598323603479,95.0
