output,parameter,S1,S1_conf,ST,ST_conf
decares_per_day_offgrid,span_m,0.02554717858955823,0.03603878669790415,0.04449726108849485,0.02961476171232481
decares_per_day_offgrid,width_m,0.11273684313710476,0.053798519871831374,0.1420389842928605,0.04509973158512936
decares_per_day_offgrid,implement_weight_N,0.00540363254566194,0.030275661347137772,0.03871511080742882,0.014238283647911684
decares_per_day_offgrid,draft_load_N,0.16186862691645273,0.07036088656994006,0.18887910873635766,0.047763179601845895
decares_per_day_offgrid,system_weight_N,0.0013908596145734062,0.002344150943420413,0.00021415260489398837,9.04702238895259e-05
decares_per_day_offgrid,winch_efficiency,0.0567004996252104,0.04554360487097244,0.092617332225636,0.023419012230075323
decares_per_day_offgrid,solar_power_W_m2,0.08855104160537244,0.04910650746300391,0.13467084561029002,0.038197554612627006
decares_per_day_offgrid,solar_area_m2,0.18696621138509661,0.07746278542819063,0.2445059678713345,0.07568031128518057
decares_per_day_offgrid,solar_hours_per_day,0.07659454879489816,0.08249422818430954,0.22584676791890493,0.08390122188784335
decares_per_day_offgrid,wind_power_W,0.0005679192201145599,0.005660456834697868,0.0012029521129193865,0.0004449172413691593
decares_per_day_offgrid,wind_hours_per_day,-0.0033718866229128282,0.004275517157137874,0.0007346507256346709,0.0003139083927576027
decares_per_day_offgrid,setup_time_s,0.019126400407349517,0.03345586786216866,0.04793924665969055,0.022297937320019983
decares_per_day_offgrid,operation_time_ratio,0.02041263475114086,0.028566664272302145,0.023071267423379813,0.012950042640730824
decares_per_day_offgrid,battery_Wh,0.0,0.0,0.0,0.0
decares_per_day_offgrid,operating_hours_per_day,0.003083355341866573,0.0301193355125036,0.0299269715868457,0.010666580697998593
decares_per_day_offgrid,operating_days_per_year,0.0,0.0,0.0,0.0
decares_per_day_offgrid,fuel_l_per_decare,0.0,0.0,0.0,0.0
decares_per_day_offgrid,fuel_price_usd_per_l,0.0,0.0,0.0,0.0
decares_per_day_offgrid,cost_cabletract_usd,0.0,0.0,0.0,0.0
decares_per_day_offgrid,shape_efficiency,0.08923277061072361,0.05647542067889185,0.12426315470793652,0.03425743960063907
payback_months_vs_fuel,span_m,0.0010495204639353027,0.0024928359934194995,0.00019939861811727366,8.460659497885372e-05
payback_months_vs_fuel,width_m,0.029915800864434707,0.05025222365843292,0.09231587166498201,0.030214203385428757
payback_months_vs_fuel,implement_weight_N,0.013066214119405312,0.022125303640073257,0.028012760639764475,0.010916009366457318
payback_months_vs_fuel,draft_load_N,0.05263169730391661,0.03861661067170618,0.0955198881591221,0.03791068257279251
payback_months_vs_fuel,system_weight_N,-0.00015740096695501156,0.0010299674635371103,7.994283235340963e-05,4.462020021100606e-05
payback_months_vs_fuel,winch_efficiency,0.04060881331881273,0.04597699907636359,0.08254001177064989,0.024987714343018746
payback_months_vs_fuel,solar_power_W_m2,0.07280273045308724,0.05159863259596607,0.11262085844060922,0.032182295491766
payback_months_vs_fuel,solar_area_m2,0.1067739813350775,0.06053380512919146,0.1814523042959078,0.06234894214917388
payback_months_vs_fuel,solar_hours_per_day,0.06198640684988084,0.0330596096611416,0.08780675926383395,0.02922139746818575
