annual_hectares,discount_rate,capex_eur,npv_eur,payback_yr
1.0,0.05,35570.0,685.8117469960134,1.7768168604651162
1.0,0.08,35570.0,526.7410836499137,1.852697674418605
1.0,0.12,35570.0,391.6567446865181,1.9585116279069772
5.0,0.05,35570.0,1383.3247671617492,1.478270914396887
5.0,0.08,35570.0,1101.9380514785662,1.5368482490272373
5.0,0.12,35570.0,849.3468383785664,1.6188326848249028
10.0,0.05,35570.0,2255.2160423689184,1.2190327140549273
10.0,0.08,35570.0,1820.9342612643811,1.2625848142164782
10.0,0.12,35570.0,1421.4594554936264,1.3238772213247172
25.0,0.05,35570.0,4870.889867990428,0.800990364025696
25.0,0.08,35570.0,3977.922890621826,0.8238758029978587
25.0,0.12,35570.0,3137.7973068388073,0.854389721627409
50.0,0.05,35570.0,9230.34624402628,0.51276559287183
50.0,0.08,35570.0,7572.903939550901,0.5274160383824538
50.0,0.12,35570.0,5998.360392414109,0.546949965729952
100.0,0.05,35570.0,17949.25899609797,0.2981765643682742
100.0,0.08,35570.0,14762.866037409052,0.30669589477879633
100.0,0.12,35570.0,11719.486563564706,0.3180550019928258
