annual_hectares,ct_lcoe_eur_per_ha,diesel_lcoe_eur_per_ha
1.0,5578.426913374231,5855.834072760699
5.0,1115.685382674846,1184.60681455214
10.0,557.842691337423,600.70340727607
25.0,223.13707653496922,250.361362910428
50.0,111.56853826748461,133.580681455214
100.0,55.784269133742306,75.190340727607
