label,depth_cm,width_cm,dem_draft_N,wedge_draft_N,disturbed_area_cm2,moved_fraction,draft_per_area_N_cm2,wedge_field_N
co-design ripper,5.0,4.0,143.3488045488355,6.735568416679394,43.422014551388784,0.04287469287469287,3.301293273235539,40.219575096054136
co-design chisel,8.0,4.0,186.55057615746708,22.917546846983075,251.4229490049306,0.2386977886977887,0.7419791108798452,85.27834243196581
co-design sweep,5.0,8.0,205.03186081812007,9.776806299319833,309.1476668607216,0.2942260442260442,0.6632165880471995,64.24224028186347
conventional tine,10.0,6.0,222.038919820515,47.80207156815427,437.02379724189495,0.4138820638820639,0.5080705472375348,151.95932642078537
conventional deep,13.0,8.0,259.6264011570204,106.04908963956738,557.7076077407577,0.5329238329238329,0.4655242237213733,276.1271679451669
