cost_cabletract_usd,solar_area_m2,battery_Wh,draft_load_N,span_m,width_m,decares_per_day_offgrid,payback_months_vs_fuel,energy_per_decare_Wh
23622.26233214651,29.649460726187645,7164.801895689585,1500.6596796978656,54.914444313657484,2.9910965726023324,33.249600885178594,20.673313057825872,406.8725610262624
8504.420421572,29.98173684296103,7069.7746102836945,1977.9768892864154,58.25284518177579,2.959663622506177,35.201275099023526,-7.317550971130973,561.511931535247
24342.94226463647,29.72180204243766,7164.801895689585,1500.5318943689638,96.95178347125484,2.9910965726023324,35.37674977951944,21.63187096678161,412.03128102208456
8108.612196392005,29.715617106723677,7632.067322487545,1975.0664071349274,95.94477093730005,2.9909800456535884,37.60341979679588,-1.9402936993575823,551.1009939138945
23622.26233214651,29.675239286221125,7164.801895689585,1500.6610657175515,54.914444313657484,2.9910965726023324,33.249600885178594,20.673313057825872,406.8725610262624
9824.963552326422,29.975014402140506,7029.864600131679,1978.613500096675,70.62702941908739,2.886302565902874,35.71287346609095,-5.64029202263875,578.5524502600288
8301.80414784997,29.70929654325564,5914.435386727051,1500.9663196413221,95.9486361884511,2.991220833614713,36.21152046173858,0.2033839191463637,425.62958845801677
9620.449475101072,29.995176356435916,7675.079095372615,1502.9831851610486,70.44083568652763,2.887806244318563,34.46248553148077,-5.253834391129521,467.92591990766186
9137.508430595008,29.97330426555709,7094.046148602336,1500.793965181152,58.38710674017023,2.8865405965479227,34.04983230081802,-7.133512420905247,448.69774675497644
8125.656117827678,29.715648378031496,7625.477446524375,1974.4953283209793,97.0268586314955,2.8877473146366164,37.153757810098526,-2.4319396073179718,569.2223011694779
8158.09273192045,29.738654067103422,7194.6914463457015,1979.5276631069487,95.94803526618956,2.992602943486333,37.560968490443905,-1.9402936993575823,542.9773908310273
8767.587740847246,29.726805554942203,6756.157292103603,1975.0664071349274,96.98961197534551,2.992970927325572,37.074915406238595,-0.9570970689246635,540.7656757056593
8010.279900534052,29.6593243729442,7885.021997677512,1904.4619193034935,96.9529674692291,2.99125410264622,35.38296871550861,-2.741533215722268,525.2619658373327
8411.252184752824,29.983417568765788,7013.625104330109,1913.219952661228,58.32609499583271,2.992475236198664,33.48706982309514,-7.245757774682451,545.334431402438
8020.115414162503,29.66025058297521,7011.830514012483,1905.5812729754223,96.99117598791125,2.962481405579353,35.140294408777564,-2.8237735350367794,531.05936798486
8793.512898878282,29.679285175048186,7043.782327561355,1512.0281723552014,95.9486361884511,2.8882960378430704,36.77793576519483,-1.0335432134867286,501.1568471150054
9807.636816668206,29.701849006075655,7623.617988607368,1511.9048757518106,96.95354188835887,2.9931097085007505,36.349877944184094,-1.681638603676592,479.0153306459899
8010.038319531098,29.70929654325564,7168.368722285048,1500.9630831582724,95.9486361884511,2.9912322509025078,36.18385688403204,-1.520670792943556,416.92333143917324
9645.987549786294,28.91402367322845,7158.682612604231,1511.9048839516522,96.95291665882148,2.993101672896991,34.605914282146756,-2.8454261377920247,472.37624861582873
8504.420421572,29.979865311847938,7069.7746102836945,1977.9768892864154,58.25284518177579,2.959663622506177,35.201275099023526,-7.317550971130973,561.511931535247
8504.420421572,29.994197640924632,7070.27856546812,1931.7139419570608,58.25284518177579,2.959663622506177,33.451656414645285,-7.273163715205107,549.0494459901497
9838.069790916703,29.98564678194439,7619.7181697504575,1511.603347106792,71.49200130563274,2.9650786836324836,35.0822151852798,-4.192968492504641,493.09600166762164
8386.773785950412,29.72104242121137,7058.787778516823,1977.8826171139374,97.0268586314955,2.9623290085297085,36.88991309315579,-2.868160790962645,554.2641700045117
23610.56096385113,29.72351853856236,7164.801895689585,1500.5563801635444,96.95178347125484,2.9910965726023324,35.37674977951944,21.63187096678161,412.03128102208456
8906.266518346869,29.624256879392853,7652.654518313437,1511.9048847413908,71.41783789438348,2.9912543093909156,34.76453535037847,-4.426478426263173,485.9220914400039
9186.355321917317,29.993742927452182,7043.687710246124,1511.99628670925,71.48628860898712,2.887806244318563,34.9671065078219,-5.152981315708325,506.9139029048154
8228.499343972298,29.986421882687786,7036.661972668335,1500.4451297489134,54.758595647997744,2.9915907166935862,33.78749214441895,-5.433940181489041,417.4092252087623
8020.115414162503,29.658641957480093,7645.271823152511,1978.7525092990948,96.9894602798458,2.8883561560868554,37.153757810098526,-2.4319396073179718,569.2223011694779
9184.662218360585,29.641043200849637,7170.712167478028,1972.4907083158646,58.36661398735498,2.961824514111356,34.83484895545752,-6.733745084994652,552.7904619452703
9872.083063912913,29.994843041975294,7046.626512762543,1511.8534057129227,58.25854121549707,2.8608935412245122,34.289337534699555,-6.44885345934773,512.5684226336202
8767.587740847246,29.72679160235425,7046.550808547063,1975.0376335861422,96.98961197534551,2.991780256858971,37.074915406238595,-2.840754850439989,550.5491554168
8407.851839951772,29.986421882687786,7058.546538300389,1500.4451297489134,58.32627121258291,2.9915907166935862,33.96258231799968,-6.990815417596414,429.7883228499805
9136.051154072991,29.658624283876293,7093.411779863415,1501.060670692342,97.06157627489321,2.8874047291928298,35.785053782645065,-2.5638289473347973,443.4045199299422
9837.554773669417,29.66023290937141,7622.049945656577,1501.060670692342,97.06157627489321,2.887274612732586,35.93029902865797,-2.508994568542942,441.3221323701265
9344.368395164985,29.99490685803486,7071.183369749984,1512.2888310444578,58.22796239784167,2.859428881402368,34.289337534699555,-6.44885345934773,512.5684226336202
9839.061165183339,29.975014402140506,7629.186022109223,1978.613500096675,58.22366195786917,2.8863040150667616,35.315530911333305,-6.352358280141834,576.4700627002131
8010.279900534052,29.659423545013677,7157.711529832967,1904.4619193034935,96.9529674692291,2.991205101217527,35.32529672186037,-2.741533215722268,518.6228838071717
8257.451640110736,29.723552425511354,7647.662878146619,1511.5909887144178,95.94477942057061,2.9607390600075307,36.598993660956054,-0.8634177719086943,488.1962043987681
8065.422849840148,29.98545575115211,7012.4837085712,1978.6523811559177,71.51168246173114,2.9924768025056623,35.64713381613281,-5.9942728869689095,555.8286975072997
9645.987549786294,29.677501492923138,7158.682612604231,1511.9048839516522,96.95291665882148,2.99115777659736,36.20463269817119,-1.681638603676592,473.860769668535
8352.073395725018,29.985586675928683,7164.71714366627,1500.5563801635444,54.92005341590259,2.962031789287615,33.65334871664652,-4.877540235875377,416.71892436735976
9761.332373079877,29.66025058297521,7157.711529832967,1904.3178460431488,96.9529674692291,2.9912197072723745,35.32529672186037,-2.741533215722268,518.6228838071717
9654.110317868392,29.668615863305643,7196.564863664511,1511.5497409070101,96.95291665882148,2.8890711944794916,36.291882680989524,-1.8243356069854257,491.2856725208247
8468.315856101495,29.989482982421396,7166.438647861007,1512.1618061501933,64.40748965839147,2.991595408261724,34.75861023276764,-4.361095273002111,481.2512288500784
9122.379619758214,29.992104826297,7202.483940392043,1500.2436599296555,54.94791674865636,2.960775227134043,33.65334871664652,-4.877540235875377,416.71892436735976
8396.316533308483,29.98173684296103,7069.844199449941,1977.9768892864154,71.29309863558574,2.9605009881325235,35.46213150305,-6.021678827491566,559.5437120950114
9136.051154072991,29.658860660691445,7093.411779863415,1511.9280764447271,97.06157627489321,2.956315809080554,36.03493531714024,-1.7638789229911034,489.12888695438
8007.156811175912,29.684991320006784,7493.483533312828,1511.5785300027799,95.94472549365322,2.991202832759503,36.6906857823765,-0.8360118313860386,480.1650356501937
9021.267403097108,29.97541440014606,7045.015691613893,1500.793965181152,71.10590774376351,2.8865508469159677,34.460277609477444,-5.837640277265842,446.7295273147409
8798.595665037059,29.66025058297521,7009.274947563615,1905.5812729754223,96.98961197534551,2.962481405579353,35.140294408777564,-2.8237735350367794,531.05936798486
9838.190315629703,29.97541440014606,7642.8929896980735,1500.793965181152,58.38710674017023,2.886552296079855,34.092283607169996,-6.5497065347689265,446.6153591951607
9344.368395164985,29.994415939389416,7661.427866963027,1512.2888310444578,58.22814221970803,2.9595108605941713,34.527307999556655,-5.749756510425232,495.9214796288139
9037.850280203325,29.701120679680525,7038.78638156449,1511.9159961243931,71.2903039417716,2.9912053079622227,34.722084044026495,-5.010284312399493,488.0044789998196
9091.235524760243,29.974912569420564,7186.081616396901,1500.793965181152,58.33733594569919,2.886334091762125,34.04983230081802,-6.5497065347689265,439.97627716499954
9824.742591426982,29.986234210772846,7636.50120002883,1500.4451297489134,54.76141025126433,2.9914700840259942,33.82994345077093,-4.850134295352721,415.32683764894654
8396.661436142333,29.72672931091568,7622.420401000994,1501.1879196686764,95.9486361884511,2.9594666267273086,36.34454760690548,-1.5480767334662116,431.59358221790876
8014.82230725331,29.675913339533974,7631.444345997976,1511.5785300027799,95.9447429164999,2.9669764766878672,36.73252099569799,-0.6025018976275072,487.33894587781145
8009.788324620534,29.728141575492437,6756.157292103603,1975.0664071349274,71.15987760924132,2.992970927325572,35.489361335155735,-3.581643598109119,546.045217796159
8566.703671856023,29.161421605552928,7088.082880417513,1979.5276631069487,95.94803526618956,2.992602943486333,35.96225007441948,-3.1589156122648707,551.6988604210039
9620.449475101072,29.995176356435916,7657.555846995071,1511.9048839516522,71.48629850118418,2.887806244318563,35.00955781417389,-4.569175429572004,504.83151534499973
9344.368395164985,29.981143802384302,7070.135824036583,1512.2888310444578,58.22814221970803,2.9595108605941713,34.48485669320468,-6.333562396561553,498.0038671886296
9665.862414752293,29.671681736535547,6756.157292103603,1975.0664071349274,95.94865667029121,2.9931049576482525,37.560968490443905,-0.1114702966341102,541.9153807098633
9475.474291812763,29.721417662237606,7148.0445635949645,1511.5785300027799,95.94440623913044,2.993139214076721,36.444801034413324,-0.8360118313860386,473.52595362003257
9642.114657335458,29.97549781034017,7043.840517366488,1501.1659653077754,70.33494995784571,2.9594857293459444,34.348229719171,-5.722349214479663,437.81949159855486
9071.795548432663,29.98910047156409,7529.841299636322,1500.7089499665053,71.0197111352947,2.959451770636971,34.388473103519644,-5.138543328343342,433.7688845985036
8389.994359691535,29.981703166312084,7069.844199449941,1978.627170788496,71.35427471496416,2.889069288386334,35.68352491364076,-5.64029202263875,576.584230819793
8767.587740847246,29.726805554942203,7157.153200524046,1500.9262783914992,96.98961197534551,2.947020394501456,35.52810641879578,-2.393703505756763,422.27536645111627
8120.037566826294,28.761528963457533,7466.832094923976,1500.7084292811028,95.95632716760178,2.9929870053841543,34.54643077373303,-2.6844583270589886,423.5624134693344
9122.379619758214,29.991013237660898,7202.483940392043,1500.4451297489134,54.76141025126433,2.9929856065957976,33.78749214441895,-4.850134295352721,408.6877556187854
9784.068473756755,29.979406211631506,7034.929493661115,1500.331383185637,71.41782800218641,2.9611397782396964,34.23888419888669,-5.722349214479663,435.8512721583193
9534.141088880448,29.65496802526839,7158.25696256995,1500.943544937298,70.55444563544583,2.948957599635746,34.005314380302444,-5.138543328343342,427.56859327615047
9822.584552606215,29.975017350439877,7010.538374703834,1976.8863405497234,70.33494995784571,2.9594857293459444,35.57147702333432,-6.021678827491566,561.511931535247
8525.306302730249,29.993326298120913,7056.606289675307,1512.228680725835,58.367267134676986,2.992339291889676,34.46941121634414,-6.306156456038897,489.97269844005524
8240.63097299766,29.985445957175997,7151.991858601323,1500.1952569298535,71.18442076482353,2.997805470715842,34.12714287869594,-5.111137387820686,419.09863381976805
9654.110317868392,29.668570407770787,7067.609631806314,1511.9048839516522,96.95291665882148,2.8890711944794916,36.291882680989524,-1.8791699857772814,500.00714211080157
8069.4314321581505,29.715617106723677,7632.067322487545,1974.4953283209793,97.0268586314955,2.9909800456535884,37.117366712590574,-2.785920471648134,549.9512889096906
9748.30425093654,29.694978794585605,7646.4627730045995,1500.4434165935986,96.95178347125484,2.9914742482607024,35.74025510617871,-2.366297565234108,422.41270846513055
8053.250251820458,29.975980734122416,7053.8292930979505,1500.943161192818,71.4118478347299,2.948985330125104,34.20333024562816,-5.722349214479663,434.3218434258918
8909.313923458121,29.681105200885384,7164.801895689585,1500.6610657175515,71.34188896499786,2.9910965726023324,34.215255145682036,-5.111137387820686,420.5831548724743
8252.541691214865,29.70253715191865,7619.657220029735,1511.9046600510953,70.22134348517086,2.9915825020623257,34.88481541298457,-4.426478426263173,487.89031088023955
9395.696406409328,29.71533618429993,7087.177121700873,1978.6458329707555,95.94803526618956,2.9912078321099185,37.560968490443905,-1.9951280781494378,551.6988604210039
8219.742457150853,29.995295354899298,7657.555846995071,1511.9048839516522,71.48629850118418,2.887806244318563,35.00955781417389,-4.569175429572004,504.83151534499973
9687.339803017145,29.995176356435916,7043.687710246124,1511.9159953346546,71.48628860898712,2.887806244318563,34.9671065078219,-5.152981315708325,506.9139029048154
8423.694389582823,29.726803431844612,7008.094373204833,1500.7068263414126,97.0441348017626,2.962081431123093,35.56366037205431,-2.448537884548619,432.5262647735206
9638.80990959959,28.95372251894466,7158.682612604231,1500.375903333498,96.95291665882148,2.9931027502570595,34.0990853838023,-3.530085099349541,415.7736264349694
8007.972301003607,29.684991320006784,7493.483533312828,1511.5785300027799,95.94463968539796,2.8894631963705426,36.77793576519483,-0.9787088346948726,499.07445955518966
9830.989741936566,29.70929654325564,7169.994461431771,1500.8917233558059,95.9486361884511,2.95863168937486,36.01415950300109,-1.5480767334662116,424.9545001877476
8798.595665037059,29.656560438299824,7011.14004789629,1905.5812729754223,96.98961197534551,2.991205101217527,35.32529672186037,-2.7963675945141233,527.3443533971483
9442.695450901596,29.721417662237606,7148.0445635949645,1511.5785300027799,95.94440623913044,2.993139214076721,36.444801034413324,-0.8360118313860386,473.52595362003257
9774.327951356701,29.675978505571496,7198.083340174697,1511.5785300027799,95.9447429164999,2.9457879504982785,36.52098840134555,-0.8634177719086943,480.02769363617944
8000.220877813731,29.986455427955296,7049.267807612043,1500.153463639705,58.37697683893845,2.9594857293459444,33.97802779486022,-7.01822135811907,437.81949159855486
9190.110996682868,29.674531089325686,7152.821848621147,1972.494460873197,97.00596839808554,2.956550641936133,36.85435913989726,-2.81332641217079,545.542700414535
8580.362750349492,29.152933264582728,7196.844978113427,1979.5276631069487,95.94803312192121,2.957963921620999,35.741693808078146,-3.1314871739956707,546.692405418739
9069.660854869975,29.98998404017332,7190.563490043285,1970.481123182078,58.33429162276795,2.9452999551834074,35.01613224113204,-6.733745084994652,555.5771873737054
9698.348370083133,29.658624283876293,7093.411779863415,1501.060670692342,97.06157627489321,2.8874047291928298,35.785053782645065,-2.5638289473347973,443.4045199299422
9838.069790916703,29.98564678194439,7619.7181697504575,1500.7591023704335,71.41471811145854,2.9930519250868777,34.57600237996583,-5.111137387820686,425.7377158499292
8103.790172051359,29.993262883832966,7075.438570260862,1512.228680725835,70.89225145576665,2.992339291889676,34.879856525003575,-5.010284312399493,488.76079344192755
8592.272977043722,29.726805554942203,6756.157292103603,1500.9631472314845,96.98961197534551,2.9929861383311573,35.69780379982673,-0.5374741625106362,414.71161631380556
9122.379619758214,29.991013237660898,7202.483940392043,1500.2436599296555,54.76141025126433,2.9929856065957976,33.78749214441895,-4.850134295352721,408.6877556187854
8125.656117827678,29.67534697386117,7625.477446524375,1974.4953283209793,97.0268586314955,2.995143366376366,36.8714819646274,-2.785920471648134,548.4667678569843
9175.833060370187,29.18600491016108,7152.821848621147,1973.810248996774,97.05409792386324,2.992593842170186,35.47619699021417,-3.9497080057635676,541.8276858268233
9807.636816668206,29.701849006075655,7081.887052383789,1941.123633631221,96.95354188835887,2.9592425677877996,35.104740455519035,-2.868160790962645,541.8016844594144
9170.533146623335,29.18462614250144,7152.821848621147,1972.494460873197,96.99070914322502,2.956550641936133,35.25564072387284,-3.9771139462862237,545.542700414535
8495.669378190007,29.98161304705872,7069.7746102836945,1978.0808888908834,58.25250533623132,2.9912970907225214,35.236688507473374,-7.290145030608317,557.7969169475352
9069.979296281736,29.98998404017332,7190.556745589476,1970.481123182078,58.33429162276795,2.992976399786821,35.236688507473374,-6.706339144471996,549.0754473575586
8636.526338526244,29.726760595262085,7148.0445635949645,1511.5785300027799,95.94440623913044,2.944932401020654,36.52098840134555,-0.8634177719086943,480.02769363617944
8001.275787747635,29.990438965134846,7153.615835538917,1511.840012101654,71.16412378789677,2.961694346686801,34.745713097231146,-4.453884366785829,487.3141781584171
8158.9598061215465,29.989633475306785,7036.8197469442375,1511.916058473123,71.41782800218641,2.9611397782396964,34.745713097231146,-5.0376902529221494,496.03564774839396
8942.420988358675,29.986455427955296,7164.606040131115,1500.1545502612357,58.37697683893845,2.9595575401236434,33.97802779486022,-6.434415471982749,429.09802200857797
8086.743356913359,29.98564678194439,7619.7181697504575,1976.9543024868676,71.42766858799892,2.977650759785028,35.777270676660535,-5.410467000832589,558.7273906911595
8767.587740847246,29.726805554942203,6756.157292103603,1500.9262783914992,96.98961197534551,2.992970927325572,35.69780379982673,-0.5374741625106362,414.71161631380556
8121.694726765422,28.765788476971665,7058.787778516823,1977.8826171139374,97.0268586314955,2.9623290085297085,35.252486982856794,-4.031948325078079,554.2641700045117
8362.901402169055,29.994101625280678,7145.378983403753,1500.6124031974462,71.18442076482353,2.998108071325372,34.12714287869594,-5.111137387820686,419.09863381976805
9837.554773669417,29.658624283876293,7622.231408390942,1501.060670692342,97.06157627489321,2.8883366895744147,35.93029902865797,-2.508994568542942,441.3221323701265
9071.795548432663,29.98846830282282,7623.796674664927,1501.1565089577782,70.63448059788183,2.959451770636971,34.59144785682637,-5.138543328343342,435.7371040387391
8108.612196392005,29.715396865283495,7632.067322487545,1975.0664071349274,95.94477093730005,2.9909800456535884,37.60341979679588,-1.9402936993575823,551.1009939138945
9838.22629606787,29.975014402140506,7629.186022109223,1978.613500096675,58.22366195786917,2.887785691953726,35.315530911333305,-6.352358280141834,576.4700627002131
9666.488337011575,29.97400029290127,7042.8860436665545,1500.7591023704335,71.2876534175852,2.9928483877164265,34.373027626659116,-5.694943273957007,427.82010340974495
9615.750383011582,29.638863801420722,7159.428996164547,1976.7541527220656,71.37439382674333,2.9988608247328905,35.24347658719256,-5.410467000832589,547.107227917323
8552.312697179317,29.054480587009035,7094.9493517155215,1511.906294209251,96.95886617696482,2.9931097085007505,34.605914282146756,-2.9002605165838804,481.0977182058056
