solar_area_m2,battery_Wh,decares_per_day_offgrid,grid_charge_needed_Wh,battery_sufficient
10,5000,8.746877570471726,918.5910224438899,True
10,7500,8.746877570471726,918.5910224438899,True
10,10000,8.746877570471726,918.5910224438899,True
10,12500,8.746877570471726,918.5910224438899,True
10,15000,8.746877570471726,918.5910224438899,True
10,17500,8.746877570471726,918.5910224438899,True
10,20000,8.746877570471726,918.5910224438899,True
10,22500,8.746877570471726,918.5910224438899,True
10,25000,8.746877570471726,918.5910224438899,True
10,27500,8.746877570471726,918.5910224438899,True
10,30000,8.746877570471726,918.5910224438899,True
12,5000,10.14153014693464,1238.709677419355,True
12,7500,10.14153014693464,1238.709677419355,True
12,10000,10.14153014693464,1238.709677419355,True
12,12500,10.14153014693464,1238.709677419355,True
12,15000,10.14153014693464,1238.709677419355,True
12,17500,10.14153014693464,1238.709677419355,True
12,20000,10.14153014693464,1238.709677419355,True
12,22500,10.14153014693464,1238.709677419355,True
12,25000,10.14153014693464,1238.709677419355,True
12,27500,10.14153014693464,1238.709677419355,True
12,30000,10.14153014693464,1238.709677419355,True
14,5000,11.440925889632386,1659.9064171123023,False
14,7500,11.440925889632386,1659.9064171123023,True
14,10000,11.440925889632386,1659.9064171123023,True
14,12500,11.440925889632386,1659.9064171123023,True
14,15000,11.440925889632386,1659.9064171123023,True
14,17500,11.440925889632386,1659.9064171123023,True
14,20000,11.440925889632386,1659.9064171123023,True
14,22500,11.440925889632386,1659.9064171123023,True
14,25000,11.440925889632386,1659.9064171123023,True
14,27500,11.440925889632386,1659.9064171123023,True
14,30000,11.440925889632386,1659.9064171123023,True
16,5000,12.634363268003286,2193.536754507625,False
16,7500,12.634363268003286,2193.536754507625,True
16,10000,12.634363268003286,2193.536754507625,True
16,12500,12.634363268003286,2193.536754507625,True
16,15000,12.634363268003286,2193.536754507625,True
16,17500,12.634363268003286,2193.536754507625,True
16,20000,12.634363268003286,2193.536754507625,True
16,22500,12.634363268003286,2193.536754507625,True
16,25000,12.634363268003286,2193.536754507625,True
16,27500,12.634363268003286,2193.536754507625,True
16,30000,12.634363268003286,2193.536754507625,True
18,5000,13.709475383617246,2852.7233429394764,False
18,7500,13.709475383617246,2852.7233429394764,True
18,10000,13.709475383617246,2852.7233429394764,True
18,12500,13.709475383617246,2852.7233429394764,True
18,15000,13.709475383617246,2852.7233429394764,True
18,17500,13.709475383617246,2852.7233429394764,True
18,20000,13.709475383617246,2852.7233429394764,True
18,22500,13.709475383617246,2852.7233429394764,True
18,25000,13.709475383617246,2852.7233429394764,True
18,27500,13.709475383617246,2852.7233429394764,True
18,30000,13.709475383617246,2852.7233429394764,True
20,5000,14.651892901716682,3652.71364317841,False
20,7500,14.651892901716682,3652.71364317841,False
20,10000,14.651892901716682,3652.71364317841,True
20,12500,14.651892901716682,3652.71364317841,True
20,15000,14.651892901716682,3652.71364317841,True
20,17500,14.651892901716682,3652.71364317841,True
20,20000,14.651892901716682,3652.71364317841,True
20,22500,14.651892901716682,3652.71364317841,True
20,25000,14.651892901716682,3652.71364317841,True
20,27500,14.651892901716682,3652.71364317841,True
20,30000,14.651892901716682,3652.71364317841,True
22,5000,15.444821662303665,4611.328125,False
22,7500,15.444821662303665,4611.328125,False
22,10000,15.444821662303665,4611.328125,True
22,12500,15.444821662303665,4611.328125,True
22,15000,15.444821662303665,4611.328125,True
22,17500,15.444821662303665,4611.328125,True
22,20000,15.444821662303665,4611.328125,True
22,22500,15.444821662303665,4611.328125,True
22,25000,15.444821662303665,4611.328125,True
22,27500,15.444821662303665,4611.328125,True
22,30000,15.444821662303665,4611.328125,True
24,5000,16.06850866479335,5749.5269168026125,False
24,7500,16.06850866479335,5749.5269168026125,False
24,10000,16.06850866479335,5749.5269168026125,True
24,12500,16.06850866479335,5749.5269168026125,True
24,15000,16.06850866479335,5749.5269168026125,True
24,17500,16.06850866479335,5749.5269168026125,True
24,20000,16.06850866479335,5749.5269168026125,True
24,22500,16.06850866479335,5749.5269168026125,True
24,25000,16.06850866479335,5749.5269168026125,True
24,27500,16.06850866479335,5749.5269168026125,True
24,30000,16.06850866479335,5749.5269168026125,True
26,5000,16.499560423851467,7092.133105802056,False
26,7500,16.499560423851467,7092.133105802056,False
