rounds_per_decare,work_per_round_J,energy_per_round_Wh,energy_per_decare_Wh,harvested_energy_per_day_Wh,decares_per_day_energy_limited,rounds_per_day,usable_time_s,operation_time_s,travel_time_s,operation_distance_m_day,travel_distance_m_day,operation_speed_m_s,travel_speed_m_s,winch_output_power_W,winch_input_power_W,harvested_power_W,surplus_power_W,battery_chargeable_Wh,battery_required_Wh,grid_charge_needed_Wh,battery_sufficient,decares_per_day_offgrid,decares_per_year,fuel_savings_usd_year,electricity_savings_usd_year,sales_price_usd,payback_months_vs_fuel,payback_months_vs_electric,span_m
25.0,80000.0,44.44444444444444,1111.111111111111,19200.0,17.28,432.0,10080.0,8064.0,2016.0,8640.0,9504.0,1.0714285714285714,4.714285714285714,2892.8571428571427,5785.714285714285,3100.0,-2685.7142857142853,0.0,7680.000000000001,7680.000000000001,True,10.368,2937.6000000000004,5875.200000000001,1880.0640000000005,19950.0,40.74754901960784,127.33609068627447,20
16.666666666666668,117000.0,65.0,1083.3333333333335,19200.0,17.72307692307692,295.38461538461536,18276.923076923078,14621.538461538463,3655.3846153846152,8861.538461538461,9452.307692307691,0.606060606060606,2.5858585858585856,1636.363636363636,3272.727272727272,3100.0,-172.72727272727207,0.0,7680.0,7680.0,True,10.633846153846152,3012.9230769230767,6025.846153846153,1928.2707692307692,19950.0,39.72886029411765,124.15268841911764,30
12.5,154000.0,85.55555555555556,1069.4444444444446,19200.0,17.953246753246752,224.4155844155844,22535.064935064936,18028.05194805195,4507.012987012986,8976.623376623376,9425.454545454546,0.4979253112033194,2.0912863070539425,1344.3983402489623,2688.7966804979246,3100.0,411.2033195020754,2467.2199170124522,7680.0,5212.780082987548,True,13.078958883440215,3052.051948051948,6104.103896103896,1953.3132467532469,19950.0,39.219515931372555,122.5609872855392,40
10.0,191000.0,106.11111111111111,1061.111111111111,19200.0,18.094240837696336,180.94240837696336,25143.455497382198,20114.76439790576,5028.691099476437,9047.120418848168,9409.005235602095,0.4497751124437781,1.8710644677661183,1214.3928035982008,2428.7856071964015,3100.0,671.2143928035985,4027.2863568215907,7680.000000000001,3652.71364317841,True,14.651892901716682,3076.0209424083773,6152.041884816755,1968.6534031413617,19950.0,38.91390931372548,121.60596660539213,50
8.333333333333334,228000.0,126.66666666666667,1055.5555555555557,19200.0,18.189473684210526,151.57894736842107,26905.263157894737,21524.21052631579,5381.052631578947,9094.736842105263,9397.894736842105,0.4225352112676056,1.7464788732394367,1140.8450704225352,2281.6901408450703,3100.0,818.3098591549297,4909.859154929578,7680.000000000001,2770.140845070423,True,15.565129725722757,3092.2105263157896,6184.421052631579,1979.0147368421055,19950.0,38.71017156862745,120.96928615196077,60
7.142857142857143,265000.0,147.22222222222223,1051.5873015873017,19200.0,18.25811320754717,130.41509433962264,28175.094339622643,22540.075471698117,5635.018867924526,9129.056603773584,9389.88679245283,0.4050144648023143,1.666345226615237,1093.5390549662486,2187.0781099324972,3100.0,912.9218900675028,5477.531340405017,7680.0,2202.4686595949834,True,16.163690180309676,3103.8792452830185,6207.758490566037,1986.482716981132,19950.0,38.56464460784314,120.5145143995098,70
6.25,302000.0,167.77777777777777,1048.611111111111,19200.0,18.309933774834438,114.43708609271523,29133.774834437085,23307.01986754967,5826.754966887416,9154.966887417218,9383.84105960265,0.3927986906710311,1.610474631751228,1060.556464811784,2121.112929623568,3100.0,978.8870703764319,5873.322422258591,7680.000000000001,1806.6775777414096,True,16.58700946228634,3112.6887417218545,6225.377483443709,1992.120794701987,19950.0,38.455499387254896,120.17343558517155,80
5.555555555555555,339000.0,188.33333333333334,1046.2962962962963,19200.0,18.350442477876108,101.94690265486726,29883.185840707964,23906.548672566372,5976.637168141591,9175.221238938053,9379.115044247788,0.38379530916844345,1.569296375266525,1036.2473347547973,2072.4946695095946,3100.0,1027.5053304904054,6165.0319829424325,7680.000000000001,1514.9680170575684,True,16.902508443874183,3119.5752212389384,6239.150442477877,1996.528141592921,19950.0,38.37060866013071,119.90815206290846,90
5.0,376000.0,208.88888888888889,1044.4444444444443,19200.0,18.382978723404257,91.91489361702128,30485.106382978724,24388.08510638298,6097.021276595744,9191.489361702128,9375.31914893617,0.3768844221105528,1.5376884422110555,1017.5879396984925,2035.175879396985,3100.0,1064.824120603015,6388.9447236180895,7680.0,1291.0552763819105,True,17.146861969421575,3125.1063829787236,6250.212765957447,2000.068085106383,19950.0,38.30269607843137,119.69592524509804,100
4.545454545454546,413000.0,229.44444444444446,1042.929292929293,19200.0,18.40968523002421,83.68038740920096,30979.17675544794,24783.341404358354,6195.835351089587,9204.842615012105,9372.203389830507,0.3714124929656724,1.5126617895329209,1002.8137310073155,2005.627462014631,3100.0,1094.372537985369,6566.235227912214,7680.0,1113.7647720877858,True,17.3417654969812,3129.6464891041155,6259.292978208231,2002.973753026634,19950.0,38.24713123885919,119.52228512143495,110
4.166666666666667,450000.0,250.0,1041.6666666666667,19200.0,18.432,76.8,31392.0,25113.600000000002,6278.399999999998,9216.0,9369.6,0.36697247706422015,1.4923547400611628,990.8256880733943,1981.6513761467886,3100.0,1118.3486238532114,6710.091743119268,7680.0,969.9082568807316,True,17.500888073394496,3133.4399999999996,6266.879999999999,2005.4016,19950.0,38.20082720588236,119.37758501838236,120
