rounds_per_decare,work_per_round_J,energy_per_round_Wh,energy_per_decare_Wh,harvested_energy_per_day_Wh,decares_per_day_energy_limited,rounds_per_day,usable_time_s,operation_time_s,travel_time_s,operation_distance_m_day,travel_distance_m_day,operation_speed_m_s,travel_speed_m_s,winch_output_power_W,winch_input_power_W,harvested_power_W,surplus_power_W,battery_chargeable_Wh,battery_required_Wh,grid_charge_needed_Wh,battery_sufficient,decares_per_day_offgrid,decares_per_year,fuel_savings_usd_year,electricity_savings_usd_year,sales_price_usd,payback_months_vs_fuel,payback_months_vs_electric,shape_efficiency
20.0,191000.0,106.11111111111111,2122.222222222222,19200.0,9.047120418848168,180.94240837696336,25143.455497382198,20114.76439790576,5028.691099476437,9047.120418848168,9409.005235602095,0.4497751124437781,1.8710644677661183,1214.3928035982008,2428.7856071964015,3100.0,671.2143928035985,4027.2863568215907,7680.000000000001,3652.71364317841,True,7.325946450858341,1538.0104712041887,3076.0209424083773,984.3267015706808,19950.0,77.82781862745097,243.21193321078425,0.5
18.18181818181818,191000.0,106.11111111111111,1929.292929292929,19200.0,9.951832460732986,180.94240837696336,25143.455497382198,20114.76439790576,5028.691099476437,9047.120418848168,9409.005235602095,0.4497751124437781,1.8710644677661183,1214.3928035982008,2428.7856071964015,3100.0,671.2143928035985,4027.2863568215907,7680.0,3652.7136431784093,True,8.058541095944177,1691.8115183246075,3383.623036649215,1082.7593717277489,19950.0,70.7525623885918,221.10175746434933,0.55
16.666666666666668,191000.0,106.11111111111111,1768.5185185185187,19200.0,10.8565445026178,180.94240837696333,25143.4554973822,20114.76439790576,5028.69109947644,9047.120418848166,9409.005235602093,0.449775112443778,1.8710644677661166,1214.3928035982005,2428.785607196401,3100.0,671.2143928035989,4027.2863568215935,7680.0,3652.7136431784065,True,8.79113574103001,1845.612565445026,3691.225130890052,1181.1920418848167,19950.0,64.85651552287584,202.67661100898692,0.6
15.384615384615385,191000.0,106.11111111111111,1632.4786324786326,19200.0,11.761256544502617,180.94240837696333,25143.4554973822,20114.76439790576,5028.69109947644,9047.120418848166,9409.005235602093,0.449775112443778,1.8710644677661166,1214.3928035982005,2428.785607196401,3100.0,671.2143928035989,4027.2863568215935,7679.999999999999,3652.7136431784056,True,9.523730386115844,1999.4136125654447,3998.8272251308895,1279.6247120418848,19950.0,59.86755279034691,187.0861024698341,0.65
14.285714285714286,191000.0,106.11111111111111,1515.873015873016,19200.0,12.665968586387434,180.94240837696336,25143.455497382198,20114.76439790576,5028.691099476437,9047.120418848168,9409.005235602095,0.4497751124437781,1.8710644677661183,1214.3928035982008,2428.7856071964015,3100.0,671.2143928035985,4027.2863568215907,7680.0,3652.7136431784093,True,10.256325031201676,2153.214659685864,4306.429319371728,1378.0573821989528,19950.0,55.591299019607845,173.7228094362745,0.7
13.333333333333334,191000.0,106.11111111111111,1414.814814814815,19200.0,13.57068062827225,180.94240837696333,25143.4554973822,20114.76439790576,5028.69109947644,9047.120418848166,9409.005235602093,0.449775112443778,1.8710644677661166,1214.3928035982005,2428.785607196401,3100.0,671.2143928035989,4027.2863568215935,7680.000000000001,3652.7136431784074,True,10.988919676287512,2307.0157068062827,4614.031413612565,1476.490052356021,19950.0,51.885212418300654,162.14128880718954,0.75
12.5,191000.0,106.11111111111111,1326.388888888889,19200.0,14.475392670157067,180.94240837696333,25143.4554973822,20114.76439790576,5028.69109947644,9047.120418848166,9409.005235602093,0.449775112443778,1.8710644677661166,1214.3928035982005,2428.785607196401,3100.0,671.2143928035989,4027.2863568215935,7680.0,3652.7136431784065,True,11.721514321373347,2460.8167539267015,4921.633507853403,1574.922722513089,19950.0,48.642386642156865,152.0074582567402,0.8
11.764705882352938,191000.0,106.11111111111111,1248.3660130718952,19200.0,15.380104712041888,180.94240837696336,25143.455497382198,20114.76439790576,5028.691099476437,9047.120418848168,9409.005235602095,0.4497751124437781,1.8710644677661183,1214.3928035982008,2428.7856071964015,3100.0,671.2143928035985,4027.2863568215907,7680.0,3652.7136431784093,True,12.454108966459183,2614.617801047121,5229.235602094242,1673.3553926701575,19950.0,45.781069780853514,143.0658430651672,0.8500000000000001
11.11111111111111,191000.0,106.11111111111111,1179.0123456790122,19200.0,16.2848167539267,180.94240837696336,25143.455497382198,20114.76439790576,5028.691099476437,9047.120418848168,9409.005235602095,0.4497751124437781,1.8710644677661183,1214.3928035982008,2428.7856071964015,3100.0,671.2143928035985,4027.2863568215907,7680.0,3652.7136431784093,True,13.186703611545013,2768.418848167539,5536.837696335078,1771.788062827225,19950.0,43.23767701525055,135.11774067265796,0.9
10.526315789473685,191000.0,106.11111111111111,1116.9590643274855,19200.0,17.189528795811515,180.94240837696333,25143.4554973822,20114.76439790576,5028.69109947644,9047.120418848166,9409.005235602093,0.449775112443778,1.8710644677661166,1214.3928035982005,2428.785607196401,3100.0,671.2143928035989,4027.2863568215935,7680.000000000001,3652.7136431784074,True,13.919298256630848,2922.2198952879576,5844.439790575915,1870.220732984293,19950.0,40.962009803921575,128.00628063725492,0.95
10.0,191000.0,106.11111111111111,1061.111111111111,19200.0,18.094240837696336,180.94240837696336,25143.455497382198,20114.76439790576,5028.691099476437,9047.120418848168,9409.005235602095,0.4497751124437781,1.8710644677661183,1214.3928035982008,2428.7856071964015,3100.0,671.2143928035985,4027.2863568215907,7680.000000000001,3652.71364317841,True,14.651892901716682,3076.0209424083773,6152.041884816755,1968.6534031413617,19950.0,38.91390931372548,121.60596660539213,1.0
